ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
DIG;2025;2;272247435126.0;73498023779.0;67253986134.0;-424103977842.0;16449900406095.0;8186349969715.0;18974380362580.0;;8052560933196.0;2473642841353.0;;;9189561563428.0;200669319263.0;0
DIG;2025;3;1339346732790.0;193219127428.0;247699484849.0;-437237673754.0;16594152064666.0;8021862213005.0;19013434380893.0;;8227543639927.0;2492059865166.0;;;8655114046748.0;391825396111.0;0
DIG;2025;4;2951182249239.0;406441593970.0;568798172446.0;-449021072693.0;16636364783345.0;7824348151318.0;18959638759856.0;;10025617012267.0;914451250670.0;;;6627355351266.0;561812943400.0;0
DIG;2026;1;144554673583.0;-9907812917.0;-11440375642.0;-225513354879.0;15336389554221.0;6652416523190.0;17721034179940.0;;10152658195891.0;722323495743.0;;;6804903904281.0;636065311919.0;1
CEO;2025;2;421278877877.0;39615779748.0;79716152351.0;-519786146636.0;4647208570673.0;1648033281645.0;8653235770254.0;;6345112565109.0;350413153547.0;;;1374093027702.0;491941021957.0;0
CEO;2025;3;241946512689.0;52249345271.0;60910147762.0;-539985047599.0;4508721944127.0;1535143861705.0;8574529058403.0;;6384596500128.0;352913153547.0;;;1403967568224.0;252910762974.0;0
CEO;2025;4;349093544917.0;57982360195.0;44387261313.0;-559514416714.0;4575498519600.0;1647045334718.0;8730058235233.0;;6441657830214.0;342857351936.0;;;1469478625997.0;291855108812.0;0
CEO;2026;1;432471859834.0;94034744501.0;110063572539.0;-542974812198.0;4595507618130.0;1660176690382.0;8880324350812.0;;6537402417274.0;384942125864.0;;;1474343983171.0;354473824447.0;0
HDC;2025;2;80226382464.0;58114894301.0;67022042159.0;-129917999188.0;2323538542494.0;2205163048516.0;4902111984007.0;;2342669376382.0;312319043228.0;;;1407694296964.0;288106452351.0;0
HDC;2025;3;102008355489.0;538664105324.0;675334153648.0;-133557831340.0;3071453137663.0;1723492800319.0;5404355809062.0;;2881333481706.0;757220043357.0;;;1433057088324.0;675998528073.0;0
HDC;2025;4;175292269688.0;30795496568.0;56217317113.0;-136661829416.0;3151564590498.0;1916536483797.0;6082166783535.0;;2936750188274.0;724780527648.0;;;1481369912734.0;705745297932.0;0
HDC;2026;1;248696847347.0;58365227362.0;73360986162.0;-140402196539.0;2674931742476.0;1553249239408.0;5727783161981.0;;2995565415636.0;671914563918.0;;;1466947404153.0;763103551945.0;0
SCR;2025;2;409023291698.0;30194821238.0;44439376965.0;-14491853918.0;7493072784685.0;4392367383601.0;13395543366518.0;;5494886512352.0;2221996818180.0;;;3552510990601.0;426622287965.0;0
SCR;2025;3;431575044432.0;1819258625.0;15035466690.0;-14652449261.0;7151866750393.0;4114029165458.0;13018882846229.0;;5495505770977.0;2158674768286.0;;;3574286927745.0;426667138856.0;0
SCR;2025;4;276884668083.0;33472171646.0;77740860711.0;-14780961255.0;6798173643751.0;3215502666603.0;12895731329341.0;;5357321896380.0;2900369680797.0;;;3493092278505.0;469601855850.0;0
SCR;2026;1;150363794910.0;11663623247.0;7477567625.0;-14986951270.0;6512155047287.0;3489526984930.0;13179705370634.0;;5367785519627.0;3009883427734.0;;;3391607692945.0;481389780182.0;0
IJC;2025;2;175432379041.0;97468063506.0;109429704539.0;-655570556101.0;4530397082654.0;2020669927559.0;7908875336938.0;;5301455739401.0;519441912000.0;;;3724670967585.0;540642349352.0;0
IJC;2025;3;671578401104.0;254382802760.0;303553806084.0;-668725969638.0;5086661384663.0;2163249983363.0;8206487445154.0;;5366964350161.0;603632640270.0;;;4179630381897.0;606150960112.0;0
IJC;2025;4;609934329810.0;200046418513.0;169232554028.0;-680970539718.0;6016656347470.0;952508952111.0;10332808829278.0;;8064309392042.0;1190393925504.0;;;3686467591721.0;780058503711.0;0
