ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
AAA;2025;2;2309974267663.0;180960302761.0;214126258673.0;-2033719531297.0;4553020197155.0;3190439932889.0;12159528036613.0;6314821127450.0;5844706909163.0;1049114542787.0;275144461483.0;1706426051965.0;987232373973.0;453286006746.0;0
AAA;2025;3;2369473905606.0;125426841292.0;157935536087.0;-2101256523242.0;4377037083396.0;3110747143104.0;12241737677888.0;6223854505750.0;6017883172138.0;1030799788482.0;379917654236.0;1741373916584.0;757283181389.0;471371548675.0;0
AAA;2025;4;2192291125691.0;62021846963.0;121393030289.0;-2188863224299.0;4532817492410.0;3279775954320.0;12891604733753.0;6812374373990.0;6079230359763.0;1129878560761.0;391011069164.0;1617746098453.0;943451289416.0;551744950554.0;0
AAA;2026;1;2224065397921.0;162598707868.0;196029591763.0;-2272524448020.0;4335814072315.0;3156903635860.0;13002582935821.0;6770796349719.0;6231786586102.0;1127106542906.0;129249563352.0;1402459989393.0;813729823084.0;696034823639.0;0
AGG;2025;2;193906331896.0;82277334566.0;109365518876.0;-15654609812.0;2232145753429.0;2523291825292.0;6312750819169.0;3086103842327.0;3226646976842.0;271218000000.0;-7728713033.0;39394810937.0;604746717421.0;1422252642199.0;0
AGG;2025;3;170367839185.0;109034939697.0;140526090478.0;-13792878395.0;1956591029732.0;2121661455336.0;6011618564807.0;2675938789256.0;3335679775551.0;264718000000.0;-810704715926.0;22044921186.0;522793528285.0;1531248662793.0;0
AGG;2025;4;273042314718.0;179279430496.0;85203310343.0;-14339882396.0;1610367769615.0;1591376546864.0;5476945005978.0;1961947389780.0;3514997616198.0;192741700000.0;690504540424.0;90780442281.0;347822703790.0;1710580648549.0;0
AGG;2026;1;67263896896.0;5013433215.0;7792500330.0;-14886886397.0;1403149172740.0;1697970253807.0;5396579440417.0;1876582348345.0;3519997092072.0;0.0;-51143904138.0;46390210765.0;328721559702.0;1715595750865.0;0
ANV;2025;2;1726231655961.0;332812892370.0;368773662257.0;-1163619428850.0;2855667806675.0;1795751447954.0;5149784592277.0;1888261594037.0;3261522998240.0;78247397912.0;147146324623.0;71099655092.0;1594510958018.0;600946418988.0;0
ANV;2025;3;2000082975336.0;283077814084.0;343724311479.0;-1184555532769.0;3335692665087.0;1999181098559.0;5633244823530.0;2091691244642.0;3541553578888.0;78247397912.0;337485193397.0;168968494736.0;1495004842520.0;880976999636.0;0
ANV;2025;4;2118930435283.0;251570878518.0;295192223480.0;-1236405105569.0;3476485727551.0;2230874234646.0;5824715466874.0;2297846759468.0;3526868707406.0;53171320060.0;409400061126.0;45722178140.0;1421516166777.0;866292128154.0;0
ANV;2026;1;1841296117934.0;195357833650.0;237504568293.0;-1298370697028.0;3713843657329.0;2276445479346.0;6065644545224.0;2343418004168.0;3722226541056.0;53171320060.0;-174864026123.0;30765893538.0;1356659108779.0;1061649961804.0;0
BCM;2025;2;2903596879027.0;1481001145544.0;1722868761101.0;-1576673219933.0;31548052123573.0;22463334808613.0;57596981527594.0;35873567408720.0;21723414118874.0;12370277520882.0;1157329311066.0;2833056154937.0;21296350780030.0;7956206587494.0;0
BCM;2025;3;828384301042.0;422385962602.0;407907359067.0;-1604460530743.0;31593936321156.0;20051995983453.0;58182019548233.0;36094277481215.0;22087742067018.0;14828615650837.0;-807274543345.0;1869421633842.0;22202500918495.0;8311513999989.0;0
BCM;2025;4;1376454513805.0;1247075059092.0;1291522970056.0;-1634393740593.0;31384545366358.0;21678288206864.0;60908205782622.0;37590843080089.0;23317362702533.0;14275455749523.0;219769911874.0;2349813093288.0;22192827749672.0;9537427714004.0;0
BCM;2026;1;1104960466553.0;288428728297.0;298100278801.0;-1658659086577.0;31731742585463.0;19756628598894.0;61310091666414.0;38832215623031.0;22477876043383.0;17437855900435.0;-1095665704486.0;1526504295876.0;22644365690197.0;8698341118644.0;0
BSR;2025;2;36771954932170.0;846687365554.0;960885895802.0;-34279137303681.0;68390934191482.0;26757473680758.0;84166231670876.0;27619083478549.0;56547148192327.0;0.0;4168284643542.0;17233408484220.0;11846557384982.0;12750655823247.0;0
BSR;2025;3;35290234805794.0;908594978790.0;1056884174128.0;-34815191928041.0;68425606054201.0;25530058563244.0;83843658085255.0;26389914914138.0;57453743171117.0;0.0;-2741160949687.0;11009663951395.0;11870812952811.0;13656536215918.0;0
