ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
DGW;2025;2;5731443019058.0;118607339874.0;125118716753.0;18532491126.0;7785383774709.0;5219947964130.0;8344948012382.0;5222481593557.0;3122466418825.0;0.0;-224043304773.0;1149129413018.0;3515120611915.0;837764494310.0;0
DGW;2025;3;7390637382649.0;168464447488.0;177973302295.0;10930644481.0;8659009278666.0;5918418020379.0;9216082516119.0;5925151649806.0;3290930866313.0;0.0;-741719962917.0;708686422060.0;3017132202284.0;1004204908978.0;0
DGW;2025;4;7990148667177.0;161435493232.0;213293578550.0;19558904395.0;10704379520381.0;7782454897947.0;11259354886919.0;7786988527374.0;3472366359545.0;0.0;1271618008653.0;1742001985979.0;4436217717740.0;1163421826200.0;0
DGW;2026;1;8500182474845.0;201883536887.0;245991233357.0;11597258644.0;9479790103881.0;6353536666145.0;10030979917127.0;6356626666145.0;3674353250982.0;0.0;-641619385594.0;989670465110.0;2681179498904.0;1364454018124.0;0
DPM;2025;2;5301128849642.0;413245742446.0;500486676048.0;97899461038.0;15336796245358.0;6643716780677.0;18541934272803.0;6821850637959.0;11720083634844.0;0.0;1034931097359.0;971208834176.0;1967827874183.0;2994919357839.0;0
DPM;2025;3;3728761982359.0;238751063252.0;350342582504.0;101380844399.0;15690848754234.0;7294074963469.0;18818185325305.0;7476253092779.0;11341932232526.0;0.0;-2086304437468.0;787537427166.0;3246083696300.0;2611612492344.0;0
DPM;2025;4;3414363337789.0;232076599170.0;234011917529.0;94418933461.0;14509456783696.0;6028505903383.0;17776328981155.0;6243792135165.0;11532536845990.0;0.0;-932956428400.0;1168353223865.0;3433708262496.0;2656086182393.0;0
DPM;2026;1;5623198207327.0;410836235060.0;514425053966.0;92881417040.0;14773851304782.0;6125118045188.0;18156994486822.0;6340404276970.0;11816590209852.0;0.0;897032331342.0;1191436947177.0;3064378472830.0;2931676097719.0;0
FPT;2025;2;16624713040067.0;2740271400678.0;3129408582030.0;721965579781.0;52711179992741.0;37683199470884.0;81266075455371.0;41393292129716.0;39872783325655.0;2739611909827.0;4190477000730.0;10019630995136.0;2074111218172.0;13754755729692.0;0
FPT;2025;3;17204521225302.0;2901545752650.0;3346375732746.0;734178712672.0;53632976863548.0;36285959995924.0;82738304930449.0;39907781019976.0;42830523910473.0;2681435422290.0;4344020060779.0;9853512731370.0;2050315910017.0;13905342142939.0;0
FPT;2025;4;20225449892881.0;2994964817096.0;3482048271187.0;814010946633.0;58137438254908.0;41524928721230.0;88141991634625.0;44393950887086.0;43748040747539.0;1903789988184.0;4108450576803.0;10522105729992.0;2193769802339.0;14302416791936.0;0
FPT;2026;1;12479997206775.0;2476789833481.0;2747763827050.0;409926454508.0;41527873060120.0;25696151990523.0;68586094785217.0;28464058214856.0;40122036570361.0;1605069048520.0;-2847813717192.0;7993577611642.0;1094571460159.0;19702755221930.0;0
GAS;2025;2;30080421244663.0;4808599034503.0;5978744151042.0;696239333549.0;64857286428940.0;14439813602726.0;88634139110702.0;19860792028126.0;68773347082576.0;1913640737079.0;4737363701951.0;10377145910363.0;3225558512687.0;13611780607173.0;0
GAS;2025;3;35690134900226.0;2612819725552.0;3209052703186.0;765505523929.0;70160798119085.0;22059820732152.0;93864613349663.0;27487308376982.0;66377304972681.0;1911338737079.0;3663316516134.0;11641062000554.0;2382547626057.0;11154431403738.0;0
GAS;2025;4;43683070609001.0;1387429975481.0;1763597883667.0;594017297856.0;69902465635326.0;20573719389418.0;93568198109790.0;25914808991853.0;67653389117937.0;1531862874096.0;491071034464.0;6876468282085.0;4398771281185.0;12484110062726.0;0
GAS;2026;1;38019609031268.0;2994115272577.0;3754223754396.0;555990118221.0;69205780703236.0;16967709085764.0;92923423491919.0;22333645606660.0;70589777885259.0;1542529805063.0;-468939629618.0;7321907295672.0;3047822684577.0;15384731714103.0;0
GMD;2025;2;1493731602173.0;604112898590.0;800990158125.0;97650305587.0;6743445928490.0;3150593359442.0;19085997110583.0;5307979253151.0;13778017857432.0;1776723717406.0;942655177522.0;3748759070672.0;95519911442.0;3348213303657.0;0
GMD;2025;3;1560495941737.0;432436874604.0;618825753449.0;97757806352.0;6117645952288.0;2570693569528.0;19322408276425.0;5134122120738.0;14188286155687.0;2076517194949.0;518368578252.0;2205274802008.0;85149275433.0;3654453680039.0;0
GMD;2025;4;1624851616060.0;738310431573.0;916868196491.0;123140917207.0;6206216188548.0;2342521762972.0;19826401375577.0;4908147222414.0;14918254153163.0;2081640014993.0;533381121550.0;1622294838770.0;92477952063.0;4212636741407.0;0
GMD;2026;1;1452406917275.0;650228328157.0;716255717110.0;126319825409.0;6244650212617.0;2095875760395.0;20181526187664.0;4612640039661.0;15568886148003.0;2036088361210.0;392935286773.0;1889737882920.0;102175670375.0;4746794870069.0;0
HAG;2025;2;2327420395000.0;519303097000.0;527165484000.0;224282811000.0;10948323437000.0;13715514723000.0;26004202677000.0;15629558760000.0;10374643917000.0;1407547661000.0;-1091982237000.0;193660834000.0;737007565000.0;409410378000.0;1
HAG;2025;3;1895404577000.0;432077443000.0;499237735000.0;81801947000.0;11743651534000.0;11659453233000.0;27743911994000.0;14459840808000.0;13284071186000.0;2114736058000.0;-52299425000.0;845771645000.0;747488420000.0;824605963000.0;0
HAG;2025;4;1829693146000.0;928358761000.0;1279596219000.0;291352773000.0;8291578593000.0;10119380225000.0;26381628496000.0;12199029738000.0;14182598758000.0;1429800331000.0;2271859203000.0;679528813000.0;769272018000.0;1392652658000.0;0
